ident:eid,time:timestamp,case:concept:name,concept:name,message,tilt:data_disclosed,tilt:purposes,tilt:legal_bases
59,"2023-04-25 12:22:58,451",0x52f5e4c5abe15d987a41db28fd3a0d32,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
60,"2023-04-25 12:22:58,945",0x39d766d90aea09f1a49ddbdd6a738d74,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
61,"2023-04-25 12:22:59,411",0x3c4ccfd71049dadde9e6f6328cf77bc8,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
62,"2023-04-25 12:22:59,568",0xb12157f05f51dc8c303b2ca157184ad,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
63,"2023-04-25 12:22:59,983",0x20130b72611e26496eaf98d04e695fbc,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
64,"2023-04-25 12:23:00,221",0x9294f1942fdf335410b1b3bb3d40f081,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
65,"2023-04-25 12:23:00,734",0x8a9a92f8448bb10692b61f2f613cdad1,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
66,"2023-04-25 12:23:01,069",0x63f9c27232f0880cdd567e629c13fdfd,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
67,"2023-04-25 12:23:01,199",0x917f550682ef1559458d0bba30fdf44f,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
68,"2023-04-25 12:23:01,386",0x38a7d8427dae27974c0bd1053985f2e5,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
69,"2023-04-25 12:23:01,597",0xa13880377bedc09a4745f1cb751b97a0,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
70,"2023-04-25 12:23:01,857",0xefae3a4ac4fd0f7257e2d424993b2e7f,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
71,"2023-04-25 12:23:02,304",0x71eaa03813f9f4d347b6b24bc6590aeb,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
72,"2023-04-25 12:23:02,493",0xcd4e21b14ed4f1b7b56a804d96a8edbc,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
73,"2023-04-25 12:23:02,923",0xc45c8123788e6bfe017c5efbedb881f1,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
74,"2023-04-25 12:23:03,145",0xcc5424ac8946c8bcf7a5fefe74ecbbdb,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
75,"2023-04-25 12:23:03,341",0xee64bf1e1f75872f0c4fe81dec19180b,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
76,"2023-04-25 12:23:03,673",0x6601ffd6cfba9cab8e8142884022518c,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
