ident:eid,time:timestamp,case:concept:name,concept:name,message,tilt:data_disclosed,tilt:purposes,tilt:legal_bases
115,"2023-04-23 17:05:12,743",0xfdbee7d860b11e4ffe278fc179261f17,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
116,"2023-04-23 17:05:12,991",0x61a418d55cf6529cc019832621c02b22,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
117,"2023-04-23 17:05:13,021",0x61a418d55cf6529cc019832621c02b22,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
118,"2023-04-23 17:05:13,212",0x37a58d95110008b8e339185782331393,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
119,"2023-04-23 17:05:13,243",0x37a58d95110008b8e339185782331393,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
120,"2023-04-23 17:05:13,462",0xfa56b2ea9a196df6557dbac88ad059d0,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
121,"2023-04-23 17:05:13,490",0xfa56b2ea9a196df6557dbac88ad059d0,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
122,"2023-04-23 17:05:13,737",0x777e2655dc2e51c169ca61c7a6ca8ecc,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
123,"2023-04-23 17:05:13,775",0x777e2655dc2e51c169ca61c7a6ca8ecc,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
124,"2023-04-23 17:05:14,023",0xe64f061dbc7a7faf4ab7aacf5dd91a82,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
125,"2023-04-23 17:05:14,066",0xe64f061dbc7a7faf4ab7aacf5dd91a82,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
